video_name,video_id,frame_number,timestamp_sec,track_id,frame_width,frame_height,video_fps,center_x,center_y,normalized_x,normalized_y,bbox_width,bbox_height,bbox_area_ratio,detection_confidence,motion_valid,movement_distance_px,movement_distance_norm,speed_px_s,speed_norm_s,acceleration_px_s2,acceleration_norm_s2,direction_angle_deg,direction_change_deg,direction_sin,direction_cos,consecutive_frames
download.mp4,VIDEO_001,7,0.2,2,1920,1080,30.0,1708.23,1027.36,0.889705,0.951255,74.34,104.48,0.00374535,0.379372,1,1.9651,0.00089205,58.9528,0.02676136,1006.3516,0.45682886,172.9986,87.3473,0.12189372,-0.99254316,7
download.mp4,VIDEO_001,7,0.2,4,1920,1080,30.0,1799.34,889.55,0.937154,0.823658,46.32,153.99,0.00344005,0.42097,1,10.3515,0.00469901,310.5443,0.1409702,3007.1924,1.36510175,118.9224,129.4501,0.87527566,-0.48362436,7
download.mp4,VIDEO_001,7,0.2,5,1920,1080,30.0,1428.1,892.56,0.743801,0.826445,53.94,98.44,0.00256059,0.45374,1,5.2919,0.00240223,158.7567,0.0720669,-805.0508,-0.36544925,162.7914,23.685,0.29585138,-0.95523398,7
download.mp4,VIDEO_001,7,0.2,8,1920,1080,30.0,1732.0,910.48,0.902083,0.843034,61.96,123.96,0.00370424,0.534001,1,4.1695,0.00189275,125.0865,0.05678244,-30.862,-0.01400966,196.2612,7.0339,-0.2800163,-0.95999525,4
download.mp4,VIDEO_001,7,0.2,9,1920,1080,30.0,1595.35,1008.23,0.830909,0.933545,77.35,141.98,0.00529615,0.282224,1,3.3376,0.00151509,100.1277,0.04545255,1169.0635,0.53069124,180.1105,65.0481,-0.0019293,-0.99999814,3
download.mp4,VIDEO_001,7,0.2,11,1920,1080,30.0,931.06,820.54,0.484925,0.759762,50.19,100.88,0.002442,0.33234,1,3.1781,0.0014427,95.3441,0.04328102,0.0,0.0,226.4295,0.0,-0.72452625,-0.68924721,2
download.mp4,VIDEO_001,7,0.2,12,1920,1080,30.0,737.05,839.94,0.383878,0.777718,34.89,66.89,0.00112558,0.792586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,8,0.2333,1,1920,1080,30.0,1860.18,949.4,0.968846,0.879071,40.72,182.62,0.00358622,0.459755,1,4.3024,0.00195308,129.0734,0.0585923,-8185.9607,-3.71598078,223.3422,0.2436,-0.68635439,-0.72726725,8
download.mp4,VIDEO_001,8,0.2333,2,1920,1080,30.0,1707.39,1027.46,0.889264,0.95135,74.65,104.79,0.0037725,0.385427,1,0.8537,0.00038754,25.6114,0.0116262,-1000.2405,-0.45405477,173.1016,0.103,0.12010931,-0.99276067,8
download.mp4,VIDEO_001,8,0.2333,4,1920,1080,30.0,1797.7,892.36,0.936304,0.826255,48.2,159.79,0.00371404,0.412186,1,3.2453,0.0014732,97.3597,0.044196,-6395.537,-2.90322584,120.2047,1.2823,0.86423387,-0.50309028,8
