video_name,video_id,window_index,window_start_sec,window_end_sec,zone_id,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,zone_presence_ratio,avg_bbox_area_ratio,total_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_norm,avg_speed_px_s,avg_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,movement_activity
mall.mp4,VIDEO_002,10,20.0,22.0,ZONE_B,26,14.9667,19,1.0,0.00249894,2.24405213,0.464752,882,0.00053599,23.5909,0.01606349,0.01642182,0.01049486,0.43226336,34.6266,235.8707,0.219952,0.982183
mall.mp4,VIDEO_002,10,20.0,22.0,ZONE_C,9,4.55,7,1.0,0.00353115,0.96400292,0.443217,263,0.00046197,20.3331,0.01384516,0.02085547,0.00410731,0.65501704,45.1665,29.8736,0.130589,0.96337
mall.mp4,VIDEO_002,11,22.0,24.0,ZONE_A,13,7.2,9,1.0,0.00409789,1.77028711,0.460251,422,0.00115038,50.633,0.03447695,0.02598561,-0.00970313,0.66970289,34.8585,129.1897,0.344804,0.976852
mall.mp4,VIDEO_002,11,22.0,24.0,ZONE_B,24,14.05,18,1.0,0.0025387,2.14012158,0.429003,834,0.00047685,20.9882,0.01429128,0.01581665,0.00683908,0.36629091,44.7593,187.9656,0.125739,0.989324
mall.mp4,VIDEO_002,11,22.0,24.0,ZONE_C,7,3.8167,6,1.0,0.0042462,0.97237999,0.521971,220,0.00032461,14.2873,0.00972847,0.01354898,-0.005241,0.37611067,48.7766,243.9257,0.200862,0.960699
mall.mp4,VIDEO_002,12,24.0,26.0,ZONE_A,14,10.1944,13,1.0,0.00459672,1.68699802,0.441175,353,0.00097706,43.0046,0.02928264,0.03341931,-0.00438732,0.97853274,37.1004,106.3203,0.197848,0.961853
mall.mp4,VIDEO_002,12,24.0,26.0,ZONE_B,18,14.4444,16,1.0,0.00236378,1.22916728,0.470863,514,0.00043052,18.949,0.01290273,0.01406424,-0.00346052,0.32723927,37.6776,249.8872,0.125415,0.988462
mall.mp4,VIDEO_002,12,24.0,26.0,ZONE_C,7,6.25,7,1.0,0.00348383,0.78386191,0.497106,222,0.00029376,12.9296,0.008804,0.01028061,0.00118707,0.23160564,43.4919,253.6131,0.215549,0.986667
new_test.mp4,VIDEO_003,0,0.0,2.0,ZONE_A,19,6.36,9,1.0,0.00619351,3.93907247,0.335065,609,0.00141984,156.3884,0.07099184,0.04632377,-3.648e-05,1.40575483,21.0076,9.0802,0.106955,0.957547
new_test.mp4,VIDEO_003,0,0.0,2.0,ZONE_B,30,10.75,16,1.0,0.00652419,7.01350684,0.32155,1039,0.0013397,147.562,0.06698513,0.04563625,0.00046304,1.73260411,26.4661,343.7827,0.246483,0.966512
new_test.mp4,VIDEO_003,0,0.0,2.0,ZONE_C,27,8.27,10,1.0,0.0064136,5.30404997,0.331799,790,0.0012921,142.3191,0.06460511,0.05207935,0.08654919,2.52261031,26.3894,229.7221,0.400381,0.95526
new_test.mp4,VIDEO_003,1,2.0,4.0,ZONE_A,23,8.13,12,1.0,0.00606838,4.9335894,0.326534,788,0.0013124,144.555,0.06562009,0.04520131,0.02679785,1.53171505,22.1615,231.0848,0.176002,0.96925
new_test.mp4,VIDEO_003,1,2.0,4.0,ZONE_B,30,8.9,13,1.0,0.00652315,5.80560771,0.330622,862,0.00110149,121.3244,0.05507468,0.0381953,0.01796503,1.53630387,27.1883,354.5229,0.051769,0.968539
new_test.mp4,VIDEO_003,1,2.0,4.0,ZONE_C,28,8.43,13,1.0,0.00577095,4.86490988,0.287635,816,0.00109607,120.727,0.05480348,0.03902342,-0.00018658,1.48261485,27.0956,356.5763,0.372559,0.967972
new_test.mp4,VIDEO_003,2,4.0,6.0,ZONE_A,23,6.46,11,1.0,0.00642667,4.15163202,0.334846,621,0.0012681,139.6751,0.0634049,0.03741497,0.01045686,1.42538957,19.2679,242.2158,0.202116,0.9613
new_test.mp4,VIDEO_003,2,4.0,6.0,ZONE_B,25,8.76,14,1.0,0.00643855,5.64016746,0.322959,850,0.0012551,138.2431,0.06275483,0.04227758,0.05116208,2.05647827,29.6959,48.0239,0.067039,0.97032
new_test.mp4,VIDEO_003,2,4.0,6.0,ZONE_C,23,7.27,11,1.0,0.00594394,4.32124205,0.302942,704,0.00103346,113.8309,0.05167305,0.04490763,0.06416533,1.86572833,29.4838,15.7737,0.474817,0.968363
